X,Y,Label,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,NDVI,NDWI,ID,Label_ID
661602.1,1212067,Cropland,0.046950001,0.057931665,0.089740001,0.089666665,0.19445084,0.161634162,0.12091583,0.368805766,-0.368452549,324,3
659718.8,1212194,Cropland,0.048318125,0.058630627,0.086928122,0.090310626,0.257483125,0.230608746,0.156255618,0.480665594,-0.495207369,325,3
694008.3,1158504,Cropland,0.048456389,0.052336946,0.064305559,0.071929164,0.153454438,0.199853063,0.132019728,0.36171785,-0.409390509,326,3
680151.3,1206893,Cropland,0.064445503,0.072195001,0.094393,0.095118999,0.186941504,0.179043502,0.136957496,0.325541884,-0.328962505,327,3
660880.6,1212535,Cropland,0.037407499,0.045987502,0.082280628,0.072236247,0.342843115,0.22644937,0.13502562,0.651940107,-0.612909734,328,3
657404.0,1217210,Cropland,0.043545499,0.056157,0.090306498,0.094937503,0.255212992,0.237277493,0.160568997,0.457733154,-0.477271199,329,3
680612.9,1197625,Cropland,0.035785001,0.044275627,0.078935936,0.061487187,0.245049685,0.132818744,0.070933439,0.598826826,-0.512719512,330,3
663126.7,1220686,Cropland,0.047522001,0.056778502,0.088216498,0.090663999,0.257550508,0.230100006,0.154177994,0.479263514,-0.489734411,331,3
664063.8,1230153,Cropland,0.039360002,0.0462185,0.073184997,0.064621501,0.271300495,0.195026502,0.1150565,0.615258873,-0.575105488,332,3
665991.9,1187243,Cropland,0.042388055,0.048765,0.074526392,0.074013054,0.235743612,0.202034727,0.12834695,0.52212131,-0.519602954,333,3
679989.6,1180569,Cropland,0.05099643,0.060546786,0.08524964,0.083297141,0.256574631,0.210846066,0.130726784,0.509831965,-0.501207829,334,3
678299.3,1179447,Cropland,0.073786072,0.084196784,0.118603215,0.121632144,0.259953201,0.249585718,0.191670716,0.362490475,-0.373392105,335,3
661013.4,1224395,Cropland,0.022728,0.028563499,0.057994001,0.0414005,0.299196512,0.179368004,0.086098999,0.756894588,-0.675276875,336,3
660624.4,1230639,Cropland,0.021803999,0.026248001,0.057015002,0.036560498,0.354036987,0.181078494,0.074785501,0.81279701,-0.72258985,337,3
667428.0,1185361,Cropland,0.032275312,0.042237189,0.072370313,0.06703531,0.236720622,0.135812819,0.077959687,0.55862385,-0.531721532,338,3
689627.4,1191851,Cropland,0.034694165,0.041647084,0.067776665,0.063564584,0.207059577,0.137773335,0.069742918,0.530237198,-0.506785095,339,3
678735.4,1185115,Cropland,0.027132813,0.036826562,0.066547185,0.048445314,0.133341253,0.065240934,0.03764125,0.467008859,-0.334156722,340,3
678857.7,1210738,Cropland,0.033007499,0.037808999,0.066639997,0.050607499,0.270244509,0.133437499,0.061480999,0.684543014,-0.604374826,341,3
683476.3,1182516,Cropland,0.056619689,0.061184686,0.08365906,0.082713753,0.239697501,0.219261557,0.128456563,0.486905336,-0.482558429,342,3
664320.8,1218899,Cropland,0.0297735,0.033188999,0.060485501,0.045723502,0.283213496,0.177387998,0.086214498,0.721992373,-0.648032129,343,3
656702.2,1222909,Cropland,0.026649499,0.032369498,0.060755,0.049122501,0.296908498,0.170056507,0.088816002,0.716080308,-0.660267234,344,3
677495.3,1176946,Cropland,0.050261784,0.060047857,0.092270002,0.096752502,0.283689648,0.245346785,0.152027503,0.491368145,-0.509149492,345,3
652192.1,1215395,Cropland,0.043380499,0.051415998,0.082216002,0.079042502,0.226107001,0.196132004,0.138096005,0.481942475,-0.466689169,346,3
679737.4,1175687,Cropland,0.042663436,0.054038126,0.08878094,0.100131564,0.26576063,0.231976882,0.141470939,0.452671736,-0.499178946,347,3
694360.3,1178479,Cropland,0.045499373,0.051649064,0.071239375,0.077547185,0.137813434,0.120368123,0.075965941,0.279838771,-0.318455726,348,3
663487.0,1222838,Cropland,0.032869998,0.038496502,0.066584997,0.055568501,0.277867496,0.182634994,0.103143498,0.666691601,-0.613386452,349,3
662917.8,1232130,Cropland,0.026352501,0.036905624,0.073459998,0.063848749,0.249721244,0.139817506,0.074264377,0.592762351,-0.545394421,350,3
664250.7,1213217,Cropland,0.060205001,0.069190621,0.097701252,0.092902496,0.236679375,0.205803752,0.155636877,0.436240286,-0.415628523,351,3
668177.8,1212748,Cropland,0.048998751,0.056251876,0.085505001,0.093280628,0.245603129,0.20531562,0.147359371,0.449483037,-0.483522236,352,3
656043.3,1215384,Cropland,0.024130501,0.031780999,0.064863503,0.052708499,0.283053994,0.170210496,0.091236003,0.686036944,-0.627132833,353,3
657050.3,1228259,Cropland,0.030384,0.034690499,0.0634555,0.050668001,0.291265488,0.195290506,0.098870002,0.703638256,-0.64222306,354,3
675568.3,1180278,Cropland,0.036579061,0.045922186,0.073511563,0.0717825,0.224902496,0.190726876,0.117312185,0.51610297,-0.507318377,355,3
694279.0,1199549,Cropland,0.056645714,0.063175,0.087528214,0.118516788,0.194841072,0.224745363,0.180973217,0.243569076,-0.380044371,356,3
662792.2,1191566,Cropland,0.0423025,0.051013891,0.084325552,0.085700557,0.322212785,0.239077225,0.139747217,0.579810023,-0.585153282,357,3
670005.8,1212497,Cropland,0.039421875,0.044681251,0.076553747,0.061325625,0.353657514,0.220901251,0.112400003,0.704442739,-0.644110978,358,3
692444.9,1168338,Cropland,0.039739501,0.048347,0.074642502,0.071502,0.213792503,0.153237507,0.082870498,0.498749554,-0.482430995,359,3
661645.9,1224593,Cropland,0.022276999,0.0289925,0.061206002,0.047263499,0.334946513,0.2014945,0.090873003,0.752683103,-0.69099772,360,3
691275.2,1195382,Cropland,0.039925713,0.046466786,0.067751788,0.062628925,0.210975721,0.138638929,0.089543574,0.542194009,-0.513849318,361,3
663071.8,1189296,Cropland,0.018078055,0.022908889,0.053433888,0.03322139,0.31758666,0.145152494,0.061222501,0.810600758,-0.71196264,362,3
689390.1,1200216,Cropland,0.053993437,0.064085938,0.092146248,0.086491562,0.232306868,0.176698431,0.113431253,0.457390308,-0.431990355,363,3
678132.9,1179127,Cropland,0.043783572,0.052387144,0.082248211,0.082248211,0.255352855,0.188586786,0.114619642,0.512749076,-0.512749076,364,3
682254.7,1206434,Cropland,0.050662499,0.056355,0.0762925,0.074862503,0.2374755,0.202704504,0.115502,0.520631492,-0.5137012,365,3
